,Loan_ID,Gender,Married,Self_Employed,Applicant_Income,education,LoanAmount,Principal,Principal,terms,effective_date,due_date,age,loan_status
0,LP001002,male,No,No,5849,High School or Below,20,1000,20000,30,9/8/2016,10/7/2016,45,PAIDOFF
2,LP001003,female,Yes,No,4583,Bechalor,128,1000,128000,30,9/8/2016,10/7/2016,33,PAIDOFF
3,LP001005,male,Yes,Yes,3000,college,66,1000,66000,15,9/8/2016,9/22/2016,27,PAIDOFF
4,LP001006,female,Yes,No,2583,college,120,1000,120000,30,9/9/2016,10/8/2016,28,PAIDOFF
6,LP001008,male,No,No,6000,college,141,1000,141000,30,9/9/2016,10/8/2016,29,PAIDOFF
7,LP001011,male,Yes,Yes,5417,college,267,1000,267000,30,9/9/2016,10/8/2016,36,PAIDOFF
8,LP001013,male,Yes,No,2333,college,95,1000,95000,30,9/9/2016,10/8/2016,28,PAIDOFF
9,LP001014,male,Yes,No,3036,college,158,800,126400,15,9/10/2016,9/24/2016,26,PAIDOFF
10,LP001018,male,Yes,No,4006,college,168,300,50400,7,9/10/2016,9/16/2016,29,PAIDOFF
11,LP001020,male,Yes,No,12841,High School or Below,349,1000,349000,15,9/10/2016,10/9/2016,39,PAIDOFF
12,LP001024,male,Yes,No,3200,college,70,1000,70000,30,9/10/2016,10/9/2016,26,PAIDOFF
13,LP001027,female,Yes,,2500,college,109,900,98100,7,9/10/2016,9/16/2016,26,PAIDOFF
14,LP001028,male,Yes,No,3073,High School or Below,200,1000,200000,7,9/10/2016,9/16/2016,27,PAIDOFF
15,LP001029,male,No,No,1853,college,114,800,91200,15,9/10/2016,9/24/2016,26,PAIDOFF
16,LP001030,male,Yes,No,1299,High School or Below,17,1000,17000,30,9/10/2016,10/9/2016,40,PAIDOFF
17,LP001032,male,No,No,4950,High School or Below,125,1000,125000,15,9/10/2016,9/24/2016,32,PAIDOFF
18,LP001034,male,No,No,3596,High School or Below,100,1000,100000,30,9/10/2016,10/9/2016,32,PAIDOFF
19,LP001036,male,No,No,3510,college,76,800,60800,30,9/10/2016,10/9/2016,26,PAIDOFF
20,LP001038,male,Yes,No,4887,college,133,1000,133000,30,9/10/2016,10/9/2016,26,PAIDOFF
22,LP001041,male,Yes,,2600,High School or Below,115,1000,115000,30,9/10/2016,10/9/2016,25,PAIDOFF
23,LP001043,male,Yes,No,7660,college,104,1000,104000,15,9/10/2016,9/24/2016,26,PAIDOFF
25,LP001046,male,Yes,No,5955,High School or Below,315,1000,315000,30,9/10/2016,10/9/2016,29,PAIDOFF
26,LP001047,male,Yes,No,2600,Bechalor,116,800,92800,15,9/10/2016,9/24/2016,39,PAIDOFF
27,LP001050,male,Yes,No,3365,Bechalor,112,1000,112000,15,9/10/2016,9/24/2016,34,PAIDOFF
28,LP001052,male,Yes,,3717,college,151,1000,151000,30,9/11/2016,10/10/2016,31,PAIDOFF
29,LP001066,male,Yes,Yes,9560,college,191,1000,191000,30,9/11/2016,10/10/2016,33,PAIDOFF
30,LP001068,male,Yes,No,2799,High School or Below,122,800,97600,15,9/11/2016,9/25/2016,33,PAIDOFF
31,LP001073,male,Yes,No,4226,college,110,1000,110000,30,9/11/2016,10/10/2016,37,PAIDOFF
32,LP001086,male,No,No,1442,college,35,1000,35000,30,9/11/2016,10/10/2016,27,PAIDOFF
33,LP001087,male,No,,3750,college,120,1000,120000,30,9/11/2016,10/10/2016,37,PAIDOFF
34,LP001091,male,Yes,,4166,college,201,800,160800,15,9/11/2016,9/25/2016,33,PAIDOFF
36,LP001095,male,No,No,3167,High School or Below,74,1000,74000,30,9/11/2016,10/10/2016,27,PAIDOFF
39,LP001097,male,No,Yes,4692,Bechalor,106,1000,106000,30,9/11/2016,10/10/2016,21,PAIDOFF
40,LP001098,female,Yes,No,3500,college,114,1000,114000,15,9/11/2016,9/25/2016,32,PAIDOFF
41,LP001100,male,No,No,12500,college,320,800,256000,15,9/11/2016,9/25/2016,30,PAIDOFF
