,Principal,terms,effective_date,due_date,age,education,Gender,loan_status
0,1000,30,9/8/2016,10/7/2016,45,High School or Below,male,PAIDOFF
2,1000,30,9/8/2016,10/7/2016,33,Bachelor ,female,PAIDOFF
3,1000,15,9/8/2016,9/22/2016,27,college,male,PAIDOFF
4,1000,30,9/9/2016,10/8/2016,28,college,female,PAIDOFF
5,1000,30,9/9/2016,10/8/2016,29,college,male,PAIDOFF
6,1000,30,9/9/2016,10/8/2016,36,college,male,PAIDOFF
7,1000,30,9/9/2016,10/8/2016,28,college,male,PAIDOFF
8,800,15,9/10/2016,9/24/2016,26,college,male,PAIDOFF
9,300,7,9/10/2016,9/16/2016,29,college,male,PAIDOFF
10,1000,15,9/10/2016,10/9/2016,39,High School or Below,male,PAIDOFF
11,1000,30,9/10/2016,10/9/2016,26,college,male,PAIDOFF
12,900,7,9/10/2016,9/16/2016,26,college,female,PAIDOFF
13,1000,7,9/10/2016,9/16/2016,27,High School or Below,male,PAIDOFF
14,800,15,9/10/2016,9/24/2016,26,college,male,PAIDOFF
15,1000,30,9/10/2016,10/9/2016,40,High School or Below,male,PAIDOFF
16,1000,15,9/10/2016,9/24/2016,32,High School or Below,male,PAIDOFF
17,1000,30,9/10/2016,10/9/2016,32,High School or Below,male,PAIDOFF
18,800,30,9/10/2016,10/9/2016,26,college,male,PAIDOFF
19,1000,30,9/10/2016,10/9/2016,26,college,male,PAIDOFF
20,1000,30,9/10/2016,10/9/2016,25,High School or Below,male,PAIDOFF
21,1000,15,9/10/2016,9/24/2016,26,college,male,PAIDOFF
22,1000,30,9/10/2016,10/9/2016,29,High School or Below,male,PAIDOFF
23,800,15,9/10/2016,9/24/2016,39,Bachelor ,male,PAIDOFF
24,1000,15,9/10/2016,9/24/2016,34,Bachelor ,male,PAIDOFF
25,1000,30,9/11/2016,10/10/2016,31,college,male,PAIDOFF
26,1000,30,9/11/2016,10/10/2016,33,college,male,PAIDOFF
27,800,15,9/11/2016,9/25/2016,33,High School or Below,male,PAIDOFF
28,1000,30,9/11/2016,10/10/2016,37,college,male,PAIDOFF
29,1000,30,9/11/2016,10/10/2016,27,college,male,PAIDOFF
30,1000,30,9/11/2016,10/10/2016,37,college,male,PAIDOFF
31,800,15,9/11/2016,9/25/2016,33,college,male,PAIDOFF
32,1000,30,9/11/2016,10/10/2016,27,High School or Below,male,PAIDOFF
33,1000,30,9/11/2016,10/10/2016,21,Bachelor ,male,PAIDOFF
34,1000,15,9/11/2016,9/25/2016,32,college,female,PAIDOFF
35,800,15,9/11/2016,9/25/2016,30,college,male,PAIDOFF
36,1000,7,9/11/2016,9/24/2016,31,Bachelor ,male,PAIDOFF
37,1000,15,9/11/2016,9/25/2016,30,college,male,PAIDOFF
38,1000,15,9/11/2016,9/25/2016,24,Bachelor ,female,PAIDOFF
39,800,7,9/11/2016,9/17/2016,35,High School or Below,male,PAIDOFF
40,1000,30,9/11/2016,10/10/2016,22,High School or Below,male,PAIDOFF
41,1000,30,9/11/2016,10/10/2016,32,college,male,PAIDOFF
42,800,15,9/11/2016,9/25/2016,50,High School or Below,male,PAIDOFF
43,1000,30,9/11/2016,10/10/2016,35,Bachelor ,female,PAIDOFF
44,800,15,9/11/2016,9/25/2016,35,Bachelor ,female,PAIDOFF
45,1000,30,9/11/2016,10/10/2016,34,High School or Below,male,PAIDOFF
46,1000,30,9/11/2016,10/10/2016,21,High School or Below,male,PAIDOFF
47,1000,15,9/11/2016,9/25/2016,25,college,male,PAIDOFF
48,1000,30,9/11/2016,10/10/2016,27,High School or Below,male,PAIDOFF
49,1000,30,9/11/2016,10/10/2016,26,Bachelor ,male,PAIDOFF
50,800,15,9/11/2016,9/25/2016,44,High School or Below,female,PAIDOFF
51,800,15,9/11/2016,9/25/2016,39,Master or Above,male,PAIDOFF
52,1000,30,9/11/2016,10/10/2016,34,Bachelor ,male,PAIDOFF
53,1000,30,9/11/2016,10/10/2016,34,High School or Below,male,PAIDOFF
54,1000,30,9/11/2016,10/10/2016,45,college,male,PAIDOFF
55,900,15,9/11/2016,9/25/2016,28,college,male,PAIDOFF
56,1000,30,9/11/2016,10/10/2016,28,Bachelor ,male,PAIDOFF
57,1000,30,9/11/2016,10/10/2016,37,High School or Below,male,PAIDOFF
58,1000,30,9/11/2016,10/10/2016,43,Bachelor ,male,PAIDOFF
59,800,15,9/11/2016,9/25/2016,29,college,male,PAIDOFF
60,800,15,9/11/2016,9/25/2016,29,High School or Below,male,PAIDOFF
61,1000,30,9/11/2016,10/10/2016,33,Bachelor ,female,PAIDOFF
62,1000,15,9/11/2016,9/25/2016,34,college,male,PAIDOFF
63,1000,15,9/11/2016,9/25/2016,25,college,male,PAIDOFF
64,1000,30,9/11/2016,10/10/2016,30,High School or Below,male,PAIDOFF
