,Loan_ID,Gender,Married,Self_Employed,Applicant_Income,education,Principal,terms,effective_date,due_date,age,loan_status
0,1002,male,No,No,5849,High School or Below,20000,30,9/8/2016,10/7/2016,45,PAIDOFF
2,1003,female,Yes,No,4583,Bechalor,128000,30,9/8/2016,10/7/2016,33,PAIDOFF
3,1004,male,Yes,Yes,3000,college,66000,15,9/8/2016,9/22/2016,27,PAIDOFF
4,1005,female,Yes,No,2583,college,120000,30,9/9/2016,10/8/2016,28,PAIDOFF
6,1006,male,No,No,6000,college,141000,30,9/9/2016,10/8/2016,29,PAIDOFF
7,1007,male,Yes,Yes,5417,college,267000,30,9/9/2016,10/8/2016,36,PAIDOFF
8,1008,male,Yes,No,2333,college,95000,30,9/9/2016,10/8/2016,28,PAIDOFF
9,1009,male,Yes,No,3036,college,126400,15,9/10/2016,9/24/2016,26,PAIDOFF
10,1010,male,Yes,No,4006,college,50400,7,9/10/2016,9/16/2016,29,PAIDOFF
11,1011,male,Yes,No,12841,High School or Below,349000,15,9/10/2016,10/9/2016,39,PAIDOFF
12,1012,male,Yes,No,3200,college,70000,30,9/10/2016,10/9/2016,26,PAIDOFF
13,1013,female,Yes,,2500,college,98100,7,9/10/2016,9/16/2016,26,PAIDOFF
14,1014,male,Yes,No,3073,High School or Below,200000,7,9/10/2016,9/16/2016,27,PAIDOFF
15,1015,male,No,No,1853,college,91200,15,9/10/2016,9/24/2016,26,PAIDOFF
16,1016,male,Yes,No,1299,High School or Below,17000,30,9/10/2016,10/9/2016,40,PAIDOFF
17,1017,male,No,No,4950,High School or Below,125000,15,9/10/2016,9/24/2016,32,PAIDOFF
18,1018,male,No,No,3596,High School or Below,100000,30,9/10/2016,10/9/2016,32,PAIDOFF
19,1019,male,No,No,3510,college,60800,30,9/10/2016,10/9/2016,26,PAIDOFF
20,1020,male,Yes,No,4887,college,133000,30,9/10/2016,10/9/2016,26,PAIDOFF
22,1021,male,Yes,,2600,High School or Below,115000,30,9/10/2016,10/9/2016,25,PAIDOFF
23,1022,male,Yes,No,7660,college,104000,15,9/10/2016,9/24/2016,26,PAIDOFF
25,1023,male,Yes,No,5955,High School or Below,315000,30,9/10/2016,10/9/2016,29,PAIDOFF
26,1024,male,Yes,No,2600,Bechalor,92800,15,9/10/2016,9/24/2016,39,PAIDOFF
27,1025,male,Yes,No,3365,Bechalor,112000,15,9/10/2016,9/24/2016,34,PAIDOFF
28,1026,male,Yes,,3717,college,151000,30,9/11/2016,10/10/2016,31,PAIDOFF
29,1027,male,Yes,Yes,9560,college,191000,30,9/11/2016,10/10/2016,33,PAIDOFF
30,1028,male,Yes,No,2799,High School or Below,97600,15,9/11/2016,9/25/2016,33,PAIDOFF
31,1029,male,Yes,No,4226,college,110000,30,9/11/2016,10/10/2016,37,PAIDOFF
32,1030,male,No,No,1442,college,35000,30,9/11/2016,10/10/2016,27,PAIDOFF
33,1031,male,No,,3750,college,120000,30,9/11/2016,10/10/2016,37,PAIDOFF
34,1032,male,Yes,,4166,college,160800,15,9/11/2016,9/25/2016,33,PAIDOFF
36,1033,male,No,No,3167,High School or Below,74000,30,9/11/2016,10/10/2016,27,PAIDOFF
39,1034,male,No,Yes,4692,Bechalor,106000,30,9/11/2016,10/10/2016,21,PAIDOFF
40,1035,female,Yes,No,3500,college,114000,15,9/11/2016,9/25/2016,32,PAIDOFF
41,1036,male,No,No,12500,college,256000,15,9/11/2016,9/25/2016,30,PAIDOFF
42,1037,male,Yes,No,2275,Bechalor,11000,7,9/11/2016,9/24/2016,31,PAIDOFF
43,1038,male,Yes,No,1828,college,100000,15,9/11/2016,9/25/2016,30,PAIDOFF
